study_hours,class_attendance,sleep_hours,gender_male,gender_other,course_b.sc,course_b.tech,course_ba,course_bba,course_bca,course_diploma,internet_access_yes,sleep_quality_good,sleep_quality_poor,study_method_group study,study_method_mixed,study_method_online videos,study_method_self-study,facility_rating_low,facility_rating_medium,exam_difficulty_hard,exam_difficulty_moderate,exam_score
-0.531831794,1.324086332,0.225998565,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,-0.191094853
-0.276227473,-0.301898872,-1.390586304,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,-0.407934074
1.67762928,0.392472034,0.861085477,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1.469576258
-1.445942159,-1.250872442,-0.697764218,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,-1.735413211
-1.350632074,0.091577975,1.611642738,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,-0.994986601
-0.228572431,-0.267180326,-1.621527,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,-0.228116183
-1.15134735,-0.058869055,0.225998565,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,-0.466110451
0.637882893,-1.094638989,0.687879956,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,-0.804591187
-0.484176751,1.272008514,-0.235882826,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,-0.931521463
1.196746576,-1.459183714,1.611642738,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0.803192309
0.858829,0.976900879,-0.697764218,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.036321892
-0.102936409,1.538184028,-1.679262174,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.476687974
1.192414299,-1.366600926,0.630144782,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0.073343222
-1.385290287,-0.232461781,0.052793043,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,-1.502707705
0.278303933,0.294102822,0.399204086,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1.109940476
0.360617189,1.700203906,0.168263391,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.903254701
-0.882746199,1.26622209,0.74561513,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0.411823958
-1.562913628,-0.296112447,-0.120412479,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,-1.597905412
0.118009699,1.624980391,-1.506056652,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,-0.333891413
0.044360996,-0.585433658,-1.563791826,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-0.698815957
0.529575977,-0.556501537,-1.621527,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.295471205
-0.999717668,0.022140884,1.611642738,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,-0.550730635
-1.11235686,0.971114455,1.553907564,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,-0.81516871
1.65163562,-1.071493292,-0.409088348,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1.178694376
-1.341967521,0.838026698,0.572409608,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.337781297
1.69062611,-1.702213531,-1.563791826,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0.729149648
0.759186638,-0.828463475,0.687879956,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.480577858
0.442930445,1.648126088,-0.178147653,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.612796895
-0.557825453,0.542919063,-0.004942131,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,-0.312736367
1.270395278,-0.128306145,-1.390586304,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,-0.704104718
1.417692683,0.803308153,-0.409088348,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1.850367086
0.767851191,-0.226675357,-1.101910435,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1.020031531
0.724528425,-1.366600926,-1.679262174,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0.163252168
